0,1,2,3,4,5
,CONCEPTO,,,IMPORTE,
"DERECHOS POR EL USO, GOCE, APROVECHAMIENTO O EXPLOTACIÓN DE BIENES DEL DOMINIO
PÚBLICO",,,"$3,400,000.00",,
"Uso, goce, aprovechamiento o explotación de bienes del dominio público",,,"$3,400,000.00",,
DERECHOS POR LA PRESTACIÓN DE SERVICIOS,,,"$17,483,000.00",,
"Por los servicios prestados relacionados con la obtención o revalidación de la Licencia Municipal de
Funcionamiento",,,"$1,300,000.00",,
Por los servicios prestados por diversos conceptos relacionados con construcciones y urbanizaciones,,,"$4,000,000.00",,
"Por el Servicio de Agua Potable, Alcantarillado y Saneamiento",,,$0.00,,
Por el Servicio de Alumbrado Público,,,"$3,000,000.00",,
Por los Servicios prestados por el Registro Civil,,,"$3,000,000.00",,
"Por los Servicios prestados por la dependencia encargada de la Seguridad Pública, Policía y Tránsito Municipal",,,"$30,000.00",,
