0,1,2,3,4
CONCEPTO,,PERÍODO,,UMA
,,DE PAGO,,
"Discotecas u otros establecimientos que cuenten con autorización para llevar a cabo espectáculos públicos de
manera permanente",Anual,,,50.00
Pistas de bailes (aplica exclusivamente para restaurantes y bares),Anual,,,20.00
Billares por mesa,Anual,,,2.00
"Máquinas de videojuego, juegos montables de monedas, destreza, entretenimiento y similares, por cada una
(se exceptúan de apuesta y juegos de azar), excepto máquinas despachadoras de productos consumibles y
otros, cada una",Anual,,,1.20
"Mesas de futbolitos y demás juegos de mesa, por cada uno",Anual,,,1.20
Sinfonolas (por cada una),Anual,,,0.50
Juegos inflables (por cada juego),Anual,,,1.05
"Juegos mecánicos, por cada uno y por cada día","según
período
autorizado",,,0.50
