0,1,2,3,4,5,6,7,8,9
,TABLA DE VALORES PROGRESIVOS,,,,,,,,
Número de rango,,,Rango de valores,,,Cuota fija en pesos,,Tarifa sobre el,
,,Límite inferior,,Límite superior,,,,excedente del límite,
,,,,,,,,inferior,
1,,0.01,,"$44,999.99",,"$1,382.96",0.028693238,,
2,,"$45,000.00",,"$87,014.06",,"$2,674.16",0.059425691,,
3,,"$87,014.07",,"$168,254.39",,"$5,170.87",0.059425687,,
4,,"$168,254.40",,"$325,344.42",,"$9,998.63",0.059425687,,
5,,"$325,344.43",,"$629,100.93",,"$19,333.81",0.059425688,,
6,,"$629,100.94",,"$1,216,458.47",,"$37,384.75",0.059425691,,
7,,"$1,216,458.48",,"$2,352,199.99",,"$72,288.88",0.059425694,,
8,,"$2,352,200.00",,En adelante,,"$139,781.11",0.059425694,,
