0,1
"Cancha de fútbol unidades deportivas por partido, todo público, luz natural",1.30
"Cancha de fútbol unidades deportivas por partido, todo público, luz artificial",2.61
"Cancha de fútbol unidades deportivas por partido, ligas municipales y clubes
comunitarios, luz natural",0.65
"Cancha de fútbol unidades deportivas por partido, ligas municipales y clubes
comunitarios, luz artificial",1.30
"Cancha de fútbol empastado unidades deportivas por partido, todo público, luz natural",1.95
"Cancha de fútbol empastado unidades deportivas por partido, todo público, luz artificial",3.26
"Cancha de fútbol empastado unidades deportivas por partido, ligas municipales y
clubes comunitarios, luz natural",1.30
"Cancha de fútbol empastado unidades deportivas por partido, ligas municipales y
clubes comunitarios, luz artificial",1.95
Venta de agua a través de pipas con flete,7.00
Lona de 10x15 mts. Por día y por evento,6.25
Mesa por unidad,De 0.19 a 0.30
Silla plegable por unidad,De 0.015 a 0.03
Acceso al Cerro de los Gallos por persona,De 0.045 a 0.25
Acceso al gimnasio municipal por persona,De 0.045 a 0.25
Museos,De 0.045 a 0.25
"Por el uso de atracciones: tirolesa, muro de escalar y puente colgante",De 0.2 a 1.00
Por el uso de espacios públicos para acampar por persona y por noche,De 0.045 a 0.50
Por el uso de casas de campañas por noche,0.25 a 3.35
Por el uso de bicicletas por hora,0.10 a 0.40
"Por el uso y/o servicio de sanitarios, por persona",De 0.025 a 0.10
Por el uso de la explanada de la feria (Centro sur),De 200 a 400
