0,1
Comercio al por menor de cerveza,1.00
"Transportes, correos y almacenamientos",0.50
Servicios financieros y de seguros,0.50
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.50
Alquiler sin intermediación de salones para fiestas y convenciones,10.38
"Servicios profesionales, científicos y técnicos",0.50
Dirección de corporativos y empresas,0.50
Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,0.50
Servicios educativos,0.50
Servicios de salud y de asistencia social,0.50
Servicios de esparcimiento cultural y deportivo y otros servicios recreativos,0.50
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.50
Gasolineras,0.50
Hotel y motel de 1 a 20 habitaciones,0.50
Hotel y motel de 21 a 40 habitaciones,0.50
Hotel y motel de 41 a 60 habitaciones,0.50
Hotel y motel de 61 en adelante,0.50
Gaseras,0.50
Renta de cabañas,0.50
Guarderías,0.50
Servicios de telecomunicación,0.50
"Agencia de viajes, touroperadoras, transporte turístico por tierra",0.50
Estacionamiento particular,0.50
Auto lavados,0.50
Tienda departamental,1.00
Artículos exclusivamente artesanales propios de la región,0.50
Otros servicios excepto actividades de Gobierno,2.59
Restaurante,0.50
"Fonda, Cenaduría, Lonchería, Ostionería, Marisquería y Taquería",0.50
Laboratorios,0.50
Tienda de autoservicio,0.50
