0,1,2,3,4,5,6,7,8,9,10,11
CONCEPTO,,,UMA,,,,,,,,
,,,0 HASTA,,,2 HASTA,,,"5 HASTA
9.99 HAS.",DE 10 O,
,,,1.99 HAS.,,,4.99 HAS.,,,,MÁS HAS.,
Urbano,Residencial,25.00,,,30.00,,,35.00,,40.00,
,Popular,20.00,,,25.00,,,30.00,,35.00,
,"Urbanización
progresiva",30.00,,,35.00,,,40.00,,45.00,
,Institucional,0.00,,,0.00,,,0.00,,0.00,
Campestre,Residencial campestre,35.00,,,40.00,,,45.00,,50.00,
,Rústico campestre,30.00,,,35.00,,,40.00,,45.00,
Industrial,Micro industria,45.00,,,50.00,,,55.00,,60.00,
,Ligera,50.00,,,55.00,,,60.00,,65.00,
,Mediana,55.00,,,60.00,,,65.00,,70.00,
,Pesada,60.00,,,65.00,,,70.00,,75.00,
Comercial,,35.00,,,40.00,,,45.00,,50.00,
Conjunto Habitacional,,50.00,,,55.00,,,60.00,,65.00,
