0,1,2,3,4,5,6,7,8,9,10,11,12,13
CONCEPTO,,,UMA,,,,,,,,,,
,,,0 HASTA 1.99,,,2 HASTA 4.99,,,5 HASTA 9.99,,,DE 10 O,
,,,HAS.,,,HAS.,,,HAS.,,,MÁS HAS.,
Urbano,Residencial,50.00,,,60.00,,,70.00,,,80.00,,
,Popular,40.00,,,50.00,,,60.00,,,70.00,,
,Urbanización progresiva,60.00,,,70.00,,,80.00,,,90.00,,
,Institucional,0.00,,,0.00,,,0.00,,,0.00,,
Campestre,Residencial campestre,70.00,,,80.00,,,90.00,,,100.00,,
,Rústico campestre,60.00,,,70.00,,,80.00,,,90.00,,
Industrial,Micro industria,90.00,,,100.00,,,110.00,,,120.00,,
,Ligera,100.00,,,110.00,,,120.00,,,130.00,,
,Mediana,110.00,,,120.00,,,130.00,,,140.00,,
,Pesada,120.00,,,130.00,,,140.00,,,150.00,,
Comercial,,70.00,,,80.00,,,90.00,,,100.00,,
Conjunto Habitacional,,100.00,,,110.00,,,120.00,,,130.00,,
