0,1,2,3,4,5,6,7,8,9,10
CONCEPTO,,,UMA,,,,,,,
,,,0 HASTA 1.99,,2 HASTA 4.99,,,"5 HASTA 9.99
HAS.","DE 10 O MÁS
HAS.",
,,,HAS.,,HAS.,,,,,
Urbano,Residencial,60.00,,,80.00,,100.00,,120.00,
,Popular,40.00,,,60.00,,80.00,,100.00,
,"Urbanización
progresiva",30.00,,,40.00,,50.00,,60.00,
,Institucional,0.00,,,0.00,,0.00,,0.00,
Campestre,Residencial campestre,60.00,,,80.00,,100.00,,120.00,
,Rústico campestre,40.00,,,60.00,,80.00,,100.00,
Industrial,Micro industria,70.00,,,80.00,,90.00,,100.00,
,Ligera,80.00,,,90.00,,100.00,,110.00,
,Mediana,90.00,,,100.00,,110.00,,120.00,
,Pesada,100.00,,,110.00,,120.00,,130.00,
Comercial,,110.00,,,120.00,,130.00,,140.00,
Cementerios,,30.00,,,40.00,,50.00,,60.00,
Otros no especificados,,110.00,,,120.00,,130.00,,140.00,
