0,1,2,3,4,5,6,7,8,9,10,11,12
CONCEPTO,,,UMA,,,,,,,,,
,,,0 HASTA 1.99,,,2 HASTA 4.99,,5 HASTA 9.99,,,DE 10 O MÁS,
,,,HAS.,,,HAS.,,HAS.,,,HAS.,
Urbano,Residencial,24.00,,,30.00,,,36.00,,42.00,,
,Popular,18.00,,,24.00,,,30.00,,36.00,,
,Urbanización progresiva,18.00,,,24.00,,,30.00,,36.00,,
,Institucional,0.00,,,0.00,,,0.00,,0.00,,
Campestre,Residencial campestre,30.00,,,36.00,,,42.00,,48.00,,
,Rústico campestre,24.00,,,30.00,,,36.00,,42.00,,
Industrial,Micro industria,24.00,,,30.00,,,36.00,,42.00,,
,Ligera,30.00,,,36.00,,,42.00,,48.00,,
,Mediana,36.00,,,42.00,,,48.00,,54.00,,
,Pesada,42.00,,,48.00,,,54.00,,60.00,,
Comercial,,36.00,,,42.00,,,48.00,,54.00,,
Cementerios,,18.00,,,24.00,,,30.00,,36.00,,
Otros no especificados,,36.00,,,42.00,,,48.00,,54.00,,
