0,1,2
,Institucionales,0.00
Campestre,Residencial,2.50
,Rústico,1.25
Industrial,Para microindustria,5.00
,Para industria ligera,7.50
,Para industria mediana,7.50
,Para industria pesada,7.50
Comercial,"Comercial A (Vivienda hasta 2 unidades;
Vivienda unifamiliar con local comercial;
Comercial Básico, hasta 500 M2 de terreno:
Servicios, hasta 500 M2 de terreno)",2.50
,"Comercial B (Viviendas de 3 hasta 39 unidades;
Comercial. Superficie de terreno mayor de 500
M2 y hasta 19,999 M2; Servicios. Superficie de
terreno mayor a 500 M2 y hasta 19,999 M2;
Estacionamientos públicos y privados; Servicios
Educativos hasta nivel medio superior; Servicios
automotrices de cualquier índole).",5.00
,"Comercio C (Viviendas. Más de 40 unidades;
Comercial. Superficie de terreno mayor a 20,000
M2; Servicios con Superficie de terreno mayor a
20,000 M2; Comercial o servicios que contemple
venta o consumo de bebidas alcohólicas,
explosivos, armas; Servicios educativos de nivel
superior; Iglesias; Hospitales; Estaciones de
Servicio o almacenamiento de hidrocarburos
(gasolina, diésel, gas LP, gas natural).",7.5
Otros no especificados,,10.00
