0,1,2,3,4,5,6
,CONCEPTO,,,,UMA,
Asentamiento de acta de reconocimiento de hijos:,,En oficialía en días y horas hábiles,,1.50,,
,,En oficialía en días y horas inhábiles,,4.00,,
,,A domicilio en día y horas hábiles,,10.00,,
,,A domicilio en día y horas inhábiles,,15.00,,
Celebración y acta de matrimonio en oficialía:,,En día y hora hábil matutino,,10.00,,
,,En día y hora hábil vespertino,,15.00,,
,,En sábado o domingo,,26.00,,
Celebración y acta de matrimonio a domicilio:,,En día y hora hábil matutino,,35.00,,
,,En día y hora hábil vespertino,,40.00,,
,,En sábado o domingo,,60.00,,
"Celebración y acta de matrimonio colectivo en campaña, por cada pareja",,,,6.00,,
Procedimiento y acta de divorcio administrativo.,,,,100.00,,
Asentamiento de actas de divorció judicial,,,,10.00,,
Asentamiento de actas de defunción:,,En día hábil,,1.65,,
,,En día inhábil,,3.95,,
