0,1,2,3,4
,CONCEPTO,,,IMPORTE
Fondo General de Participaciones,,,"$111,580,167.00",
Fondo de Fomento Municipal,,,"$27,721,125.00",
Por el Impuesto Especial sobre Producción y Servicios,,,"$2,705,771.00",
Fondo de Fiscalización y Recaudación,,,"$7,411,837.00",
Incentivos a la Venta Final de Gasolinas y Diésel,,,"$1,534,698.00",
Impuesto Federal sobre Tenencia o uso de vehículos,,,$0.00,
Fondo de Compensación del Impuesto sobre Automóviles Nuevos,,,"$332,938.00",
Incentivos por el Impuesto sobre Automóviles Nuevos,,,"$2,294,456.00",
"Impuesto por la Venta de Bienes cuya Enajenación se encuentra Gravada por la Ley del Impuesto Especial sobre
Producción y Servicios",,,"$445,177.00",
Reserva de Contingencia,,,$0.00,
Fondo I.S.R.,,,"$11,862,835.00",
I.S.R. Incentivos por la enajenación de bienes inmuebles Art. 126,,,"$548,659.00",
Otras participaciones,,,$0.00,
